url,text,date
https://nyheder.tv2.dk/business/2024-02-26-medicinalfirmas-aktier-brager-i-vejret-efter-testresultater-paa-fedtlever,"Zealand Pharmas aktiekurs er mandag steget 35,7 procent, efter at selskabet har offentliggjort testresultater.
Det danske medicinalselskab Zealand Pharmas aktiekurs er braget i vejret i løbet af mandag.
Ved børsens lukketid klokken 17 er selskabet steget 35,7 procent i værdi siden fredagens lukkekurs.
Det er den største stigning i procent for noget selskab i C25-indekset, siden indekset blev oprettet 18. december 2017.
Mandagens stigning kommer efter Zealand Pharma mandag offentliggjorde testresultater for midlet Survodutid, som kan bruges til behandling af fedtlever.
Resultaterne viser, at 83 procent af de patienter, der blev behandlet med Survodutid, efterfølgende var i bedre sundhedstilstand.
I en kontrolgruppe, der modtog placebobehandling, var det 18,2 procent, der oplevede forbedringer.
Fedtlever er ifølge Netdoktor.dk den mest udbredte leversygdom i verden. Tilstanden opstår, hvis der ophobes fedt i levercellerne og sker typisk, hvis man har et overforbrug af alkohol, er overvægtig eller har type 2 diabetes.
Tilstanden er ikke farlig i sig selv, men hos omkring ti procent vil der opstå en betændelsestilstand, som giver en række symptomer. 
Indtil mandag var det Bavarian Nordic, der havde rekorden for den største C25-stigning på en enkelt dag. Den sikrede selskabet sig i maj 2022, hvor nyt om smittespredning med abekopper sendte selskabet op, skriver MarketWire.
Zealands Pharma har udviklet Survodutid i et partnerskab med tyske Boehringer Ingelheim.
Foruden behandling af fedtlever undersøger Boehringer Ingelheim også, om Survodutid kan bruges til fedmebehandling.
De resultater, der er blevet offentliggjort mandag, stammer fra et såkaldt fase 2-studie. I fase 2 undersøges det, hvor godt medicinen virker på den specifikke målgruppe.
Zealand Pharmas aktiekurs er nu steget omkring 190 procent over et år.
C25-indekset blev oprettet i 2017, hvor det tog over for det daværende C20-indeks. C25 indeholder de 25 mest omsatte aktier på Københavns Fondsbørs.
En gang om året bliver det beregnet, hvilke selskaber, der skal med i indekset. Zealand Pharma blev inkluderet i C25 i slutningen af 2023, da FLSmidth og Netcompany røg ud. 
TV 2 PrivatlivspolitikCookie-indstillinger© 2024 TV 2 DANMARK A/S
Tekst, grafik, billeder, lyd og andet indhold på dette website er beskyttet efter lov om ophavsret. TV 2 Danmark A/S forbeholder sig alle rettigheder til indholdet, herunder retten til at udnytte indholdet med henblik på tekst- og datamining, jf. ophavsretslovens § 11 b og DSM-direktivets artikel 4.",2024-02-26
https://nyheder.tv2.dk/video/dXJuOnR2MjpjbXM6YnJpZ2h0Y292ZTp2aWRlbzo2MzA4OTU5MTA3MTEy,Article not found,Unknown date
https://nyheder.tv2.dk/video/TGxfWjJfYTd5OW9hcTRDeDQ0Y2haalhEcHpyWTRkU3E,Article not found,Unknown date
https://nyheder.tv2.dk/video/dVlUQ3dyekNUWkw4OWd5NGxDeTFNSWphdjhhR0swWlg,Article not found,Unknown date
https://nyheder.tv2.dk/video/dXJuOnR2MjpjbXM6YnJpZ2h0Y292ZTp2aWRlbzo2MzA4ODg0Mzk3MTEy,Article not found,Unknown date
https://nyheder.tv2.dk/business/2017-12-05-c20-indekset-udvides-her-er-de-5-nye-virksomheder,"Det førende danske aktieindeks, C20 Cap, bliver til C25.
Det kendte C20 Cap-indeks, der dækker over de 20 mest omsatte aktier med den største markedsværdi på Københavns Fondsbørs, bliver fra den 18. december udvidet til at omfatte 25 virksomheder.
Elite-aktierne udvælges ud fra de 35 største aktier målt på markedsværdi i fri handel, hvorefter de 25 mest handlede aktier indlemmes i indekset.
Det førende danske aktieindeks skal fremover hedde C25, og de fem nye elite-aktier på landets største børs bliver Tryg (Forsikring), Bavarian Nordic (Biotek), Nets (Betalingskort), NKT (Kabler) og William Demant (Høreapparater).
Ændringen kommer efter flere år med store børsnoteringer til de største danske virksomheder.
Finanskommentator på TV 2 Ole Krohn ser frem til, at de fem nye virksomheder bliver optaget i det fine aktie-selskab.
- De fem selskaber er alle spændende på hver deres måde, og de skal være med til at løfte arven fra det danske eliteindeks, som stort set har slået alle verdens børser de sidste 15 år, siger Ole Krohn.
Han giver herunder en kort karakteristik af de enkelte firmaer.

- Det er det nye, hotte navn blandt de danske forsikringsselskaber. Tryg er blevet endnu mere interessant nu efter opkøbet af Alka Forsikring.
- Selskabet har vist sig gode til at tjene penge på de danske forsikringstagere, som forsikrer sig mod alt mellem himmel og jord.
- Her er vi ovre i den risikofyldte afdeling. Bavarian Nordic har vist en imponerende udholdende i en branche, hvor der er flere selskaber, der går ned.
- Det er en højrisiko-aktie, hvor det går op og ned med mulighed for den store gevinst.
- En af de helt store tendenser i 2017 er betalingsformidling. Alle kaster sig over branchen, og nye spillere kommer til.
- Nets har stærkt fat i markedet, ikke mindst med Dankortet, som alle elskede at hade, men som nu er blevet hvermandseje.
 
- NKT er blevet mere fokuseret efter selskabet solgte Nilfisk fra. 
- Det gør det til en spændende aktie, hvis man er interesserer sig for kabler i havene og samfundets infrastuktur generelt.
- Det er et af Danmarks kerneområder.
- William Demant er nærmest verdensmestre i at sælge høreapparater. Det er en voksende forretning, der blomstrer, når befolkningerne gradvist bliver ældre.
Kilde: Ole Krohn, Finanskommentator på TV 2.
Administrerende direktør i Nasdaq Copenhagen Nicolaj Kosakewitsch fortæller om udvidelsen fra 20 til 25 virksomheder i det ledende indeks:
- Det danske aktiemarked har været igennem en rivende udvikling, og der er kommet en større konkurrence blandt de selskaber, der skal ind i det toneangivende aktieindeks. Vi vil gerne skabe investeringsprodukter, der er attraktive for de danske kunder. Det betyder, at udvælgelsen handler om, hvor likvide selskaberne er på børsen, siger direktøren.
Værdien af at komme i det fornemme selskab blandt de 25 mest omsatte aktier på Fondsbørsen er - i følge direktøren - stor.
- Der er prestige i det, og der foregår garanteret en kamp blandt de største virksomheder om at kunne kalde sig et C25-selskab. Efterspørgslen på aktierne vil ganske enkelt blive større, når de kommer ind i dette indeks, siger Nicolaj Kosakewitsch.
Udbredelsen af de fem selskaber vil ændre det generelle fokus på aktieindekset, mener direktøren:
-  Rent matematisk vil der være mindre vægt på de største selskaber, da den samlede markedsværdi af hele indekset bliver langt større. Derfor vil der komme mindre fokus på de allerstørste firmaer som Mærsk, Novo og Danske Bank.
TV 2 PrivatlivspolitikCookie-indstillinger© 2024 TV 2 DANMARK A/S
Tekst, grafik, billeder, lyd og andet indhold på dette website er beskyttet efter lov om ophavsret. TV 2 Danmark A/S forbeholder sig alle rettigheder til indholdet, herunder retten til at udnytte indholdet med henblik på tekst- og datamining, jf. ophavsretslovens § 11 b og DSM-direktivets artikel 4.",2017-12-05
https://nyheder.tv2.dk/business/2017-01-06-vice-direktoer-stopper-i-c20-selskab,"Drifts-direktør og vice-chef stopper i fødevarevirksomheden Chr. Hansen, der er i det danske C20-indeks.
Knud Vindfeldt, der er driftsdirektør og viceadministrerende direktør hos ingrediensproducenten Chr. Hansen - samt leder af Food Cultures & Enzymes-divisionen - udtræder af direktionen og stopper senere i 2017 i selskabet for at gå på pension.
Det fremgår af en meddelelse fra Chr. Hansen fredag morgen.
Knud Vindfeldt udstræder af direktionen med udgangen af februar, men derefter vil han i seks måneder fortsat være til rådighed som rådgiver for selskabets administrerende direktør, Cees de Jong, oplyser Chr. Hansen.
- Knud har været en af hovedkræfterne bag Chr. Hansens succes på mejerimarkedet, og han har været utrættelig i sine bestræbelser for at sikre fortsatte forbedringer i vores strategiske, driftsmæssige og finansielle resultater, siger Chr. Hansens topchef, Cees de Jong.
- Food Cultures & Enzymes-divisionens resultater taler for sig selv: Siden 2005 er både omsætning og EBIT-margin således blevet mere end fordoblet, siger Cees de Jong i meddelelsen.
Efter ændringen består direktionen hos Chr. Hansen af administrerende direktør Cees de Jong og finansdirektør Søren Westh Lonning. Herudover – og som tidligere oplyst – tiltræder Thomas Schäfer som Chr. Hansens nye forskningsdirektør og senere som medlem af direktionen.
TV 2 PrivatlivspolitikCookie-indstillinger© 2024 TV 2 DANMARK A/S
Tekst, grafik, billeder, lyd og andet indhold på dette website er beskyttet efter lov om ophavsret. TV 2 Danmark A/S forbeholder sig alle rettigheder til indholdet, herunder retten til at udnytte indholdet med henblik på tekst- og datamining, jf. ophavsretslovens § 11 b og DSM-direktivets artikel 4.",2017-01-06
https://nyheder.tv2.dk/business/2016-12-14-maersk-overhaler-genmab-som-aarets-mest-stigende-i-c20,"Der er hård kamp om at blive den mest stigende aktie i det danske aktieindeks C20 Cap i år.
Der er tæt kamp om titlen som den mest stigende i det danske C20-indeks i 2016, men efter den senere tids kursridt for A.P. Møller-Mærsk er det nu Mærsk B, der står til at løbe med sejren, mens Genmab er skubbet ned på andenpladsen.
Efter at Mærsk-aktierne i 2015 faldt i størrelsesordenen 19 pct. til en slutkurs for året for B-aktiens vedkommende på 8975 kr., så har 2016 været et noget bedre bekendtskab for Mærsk-investorerne, som har nu kan se aktien handle i omegnen af 11.200 kr.
Det svarer til en stigning over året på 24,8 procent, og tillæges det udbytte på 300 kr., som selskabet udbetalte i april, kan årets samlede afkast opgøres til 28,1 procent.
Dermed har Mærsk passeret Genmab, som ikke har udbetalt udbytte, men har oplevet et kursridt på 25,1 procent.
Herefter følger Mærsk A med et samlet afkast på 23 procent og FLSmidth med en kursstigning inklusive udbytte på 23,7 procent.
Årets ultimativt dårligste C20-aktie har derimod været Novo Nordisk og Novozymes med fald på henholdsvis 36 og 28,3 procent korrigeret for udbytter.
TV 2 PrivatlivspolitikCookie-indstillinger© 2024 TV 2 DANMARK A/S
Tekst, grafik, billeder, lyd og andet indhold på dette website er beskyttet efter lov om ophavsret. TV 2 Danmark A/S forbeholder sig alle rettigheder til indholdet, herunder retten til at udnytte indholdet med henblik på tekst- og datamining, jf. ophavsretslovens § 11 b og DSM-direktivets artikel 4.",2016-12-14
https://nyheder.tv2.dk/business/2016-12-06-2016-er-en-fuser-for-c20-indekset,"De sidste fire år har C20-indekset stukket sine egne prisrekorder mellem 30-50 gange om året. Rekorderne er helt udeblevet i et historisk sløvt 2016.
Det danske C20-indeks har klaret sig umådeligt sølle i 2016 i forhold til de seneste år. Indekset har de sidste fire år har stukket sine egne prisrekorder mellem 30 og 50 gange om året. I år er rekorderne helt udeblevet.
Dermed er pusten gået ud af det danske C20-indeks, som er et aktieindeks over de 20 mest omsatte aktier på Københavns Fondsbørs.
Administrerende direktør i AP pension, Søren Dal Thomsen er ikke overrasket over det bratte stop i rekordsætningen.
- Sagen er, at de danske aktier i flere år har braget op. Stemningen har været super positiv og nok også for positiv. Nu korrigerer markederne sig selv. Sådan har det altid fungeret. Det er helt naturligt, siger han.
C20-indekset har sat stakkevis af rekorder for at ramme den højeste kurs nogensinde, gennem de sidste fire år. I 2013 stak indekset sin egen rekord hele 50 gange. Men eliteindekset har stadig til gode at hente en eneste rekord hjem i 2016. 
Den administrerende direktør mener, at C20-indeksets kursstigning over de sidste fem år har været så høj, at det ikke er realistisk, at den fortsætter.  
- Hvis man kigger henover en fem-årig periode, så er aktierne oppe med 18 procent om året, og så meget kan et aktiemarked ikke stige vedvarende. Det kræver, de underliggende værdier, at de følger med, og så meget er de ikke steget, siger han.  
Søren Dal Thomsen mener ikke, at der er grund til at tro, at C20-indekset kommer til at slå nye rekorder i den nærmeste fremtid.
- Man skal ikke vente at den opgang kommer tilbage. Jeg vil våge den påstand, at man er heldig, hvis man ser én rekord i 2017.
TV 2 PrivatlivspolitikCookie-indstillinger© 2024 TV 2 DANMARK A/S
Tekst, grafik, billeder, lyd og andet indhold på dette website er beskyttet efter lov om ophavsret. TV 2 Danmark A/S forbeholder sig alle rettigheder til indholdet, herunder retten til at udnytte indholdet med henblik på tekst- og datamining, jf. ophavsretslovens § 11 b og DSM-direktivets artikel 4.",2016-12-06
http://omtv2.tv2.dk/nyhedsartikler/nyhedsvisning/operation-x-kursuskongens-beskidte-metoder/,"I 'Operation X: Kursuskongens beskidte metoder' går Morten Speigelhauer bag kursusvirksomheden Probanas eksklusive facade og afslører horrible arbejdsforhold, ulovlig markedsføring og misbrug af danske virksomheder. (Foto: Peter Mühlhausen / TV 2)
Morten Spiegelhauer afslører torsdag 10. november horrible arbejdsforhold og ulovlig markedsføring.
Falske navne, trusler om fyringer og ulovlig markedsføring. Det er nogle af metoderne i Probana, som sælger lederkurser til offentlige institutioner og private virkomheder for mange millioner kroner hvert år. Selv mener direktøren, at kurserne har nået 'astronomiske højder herhjemme'. Efter eget udsagn har 35.000 danske chefer været på skolebænken i firmaet.
Men i 'Operation X: Kursuskongens beskidte metoder' går Morten Spiegelhauer bag om den eksklusive facade og afslører horrible arbejdsforhold, ulovlig markedsføring og misbrug af danske virksomheder. I programmet, der sendes på TV 2 torsdag 10. november klokken 20.00, rejser eksperter, kunder og en række tidligere ansatte alvorlig tvivl om firmaets produkt og virke.
Dæknavne og spam-mailsSom almindelig mediebruger kan det være svært at undgå reklamerne for Probanas kurser. I årevis har firmaet fyldt de sociale medier med reklamer og de danske dagblade med dyre helsidesannoncer. Det sker med løfter om tårnhøj kvalitet og henvisninger til, at ledere fra samtlige C20-virksomheder benytter firmaets kurser.
Men de flotte ord er uden hold i virkeligheden, afsløres det i programmet. Og når 'Operation X' opsøger de Probana-medarbejdere, der kontakter kunder og anbefaler firmaet på de sociale medier, viser det sig, at der er tale om opdigtede personer med falske profilfotos.
De ansatte skal benytte sig af falske identiteter, når de med ulovlige spam-mails bryder markedsføringsloven. De bliver truet med fyringer, hvis ikke de får omsætningen til at stige nu og her. Og hvis man som kunde forsøger at stille Probana til regnskab, sidder den - opdigtede - medarbejder praktisk talt altid 'i møde'.
497 anmeldelser til ForbrugerombudsmandenMange danskere er stødt på Probana i deres indbakke, fordi der jævnligt dumper uønskede reklamemails ind. Hos Forbrugerombudsmanden har de på knap fem år modtaget 497 anmeldelser for ulovlige spam-mails. Det sker, selv om firmaets stifter og direktør tidligere er dømt for overtrædelse af markedsføringsloven.
En række af de største danske virksomheder har afbrudt alt samarbejde med Probana, og flere opfordrer ligefrem deres medarbejdere til at vælge andre løsninger. Alligevel reklamerer kursusfirmaet fortsat med, at alle C20-virksomheder bruger dets lederkurser.
Se med når Morten Spiegelhauer forsøger at opsøge de falske medarbejdere og stiller kursuskongen til regnskab.",Unknown date
